index,total_in_score,total_out_score,id,title,abstract
21,0,0,time,Exploring Various Academic Disciplines (80 vertices),"The is a grammatical article in English, denoting persons or things that are already or about to be mentioned, under discussion, implied or otherwise presumed familiar to listeners, readers, or speakers.  It is the definite article in English.  The is the most frequently used word in the English language; studies and analyses of texts have found it to account for seven percent of all printed English-language words."
22,1,0,existence,Exploring Various Academic Disciplines (80 vertices),"Existence is the state of having being or reality in contrast to nonexistence and nonbeing.  Existence is often contrasted with essence: the essence of an entity is its essential features or qualities, which can be understood even if one does not know whether the entity exists. Ontology is the philosophical discipline studying the nature and types of existence.  Singular existence is the existence of individual entities while general existence refers to the existence of concepts or universals."
23,1,0,Property (philosophy),Exploring Various Academic Disciplines (80 vertices),"In logic and philosophy (especially metaphysics), a property is a characteristic of an object; a red object is said to have the property of redness.  The property may be considered a form of object in its own right, able to possess other properties.  A property, however, differs from individual objects in that it may be instantiated, and often in more than one object."
24,10,0,mathematical object,Exploring Various Academic Disciplines (80 vertices),"A mathematical object is an abstract concept arising in mathematics.  Typically, a mathematical object can be a value that can be assigned to a symbol, and therefore can be involved in formulas.  Commonly encountered mathematical objects include numbers, expressions, shapes, functions, and sets.  Mathematical objects can be very complex; for example, theorems, proofs, and even theories are considered as mathematical objects in proof theory."
25,0,0,clock,Exploring Various Academic Disciplines (80 vertices),"A lock is a mechanical or electronic fastening device that is released by a physical object (such as a key, keycard, fingerprint, RFID card, security token or coin), by supplying secret information (such as a number or letter permutation or password), by a combination thereof, or it may only be able to be opened from one side, such as a door chain. A key is a device that is used to operate a lock (to lock or unlock it)."
26,1,0,sequence,Exploring Various Academic Disciplines (80 vertices),"In mathematics, a sequence is an enumerated collection of objects in which repetitions are allowed and order matters.  Like a set, it contains members (also called elements, or terms).  The number of elements (possibly infinite) is called the length of the sequence.  Unlike a set, the same elements can appear multiple times at different positions in a sequence, and unlike a set, the order does matter."
27,1,0,engine,Exploring Various Academic Disciplines (80 vertices),"Engineers, as practitioners of engineering, are professionals who invent, design, analyze, build and test machines, complex systems, structures, gadgets and materials to fulfill functional objectives and requirements while considering the limitations imposed by practicality, regulation, safety and cost.  The word engineer (Latin ingeniator, the origin of the Ir."
28,0,0,patent claim,Exploring Various Academic Disciplines (80 vertices),"In a patent or patent application, the claims define in technical terms the extent, i. e.  the scope, of the protection conferred by a patent, or the protection sought in a patent application.  In other words, the purpose of the claims is to define which subject-matter is protected by the patent (or sought to be protected by the patent application).  This is termed as the ""notice function"" of a patent claim—to warn others of what they must not do if they are to avoid infringement liability."
29,0,0,Motion,Exploring Various Academic Disciplines (80 vertices),"A morion (Spanish: morrión) (Catalan: morrió) is a type of open-faced combat helmet originally from Spain, used from the beginning of the 16th century to the early-17th century.  The morion usually had a flat brim and a crest running from front to back.  Its introduction was contemporaneous with European exploration of much of North, Central and South America - explorers such as Hernando de Soto and Coronado may have supplied morions to their foot-soldiers in the 1540s."
30,0,0,public domain,Exploring Various Academic Disciplines (80 vertices),"The public domain (PD) consists of all the creative work to which no exclusive intellectual property rights apply.  Those rights may have expired, been forfeited, expressly waived, or may be inapplicable.  Because no one holds the exclusive rights, anyone can legally use or reference those works without permission. As examples, the works of William Shakespeare, Ludwig van Beethoven, Miguel de Cervantes, Zoroaster, Lao Zi, Confucius, Aristotle,  L."
31,1,0,irreversible process,Exploring Various Academic Disciplines (80 vertices),"In science, a process that is not reversible is called irreversible.  This concept arises frequently in thermodynamics.  All complex natural processes are irreversible, although a phase transition at the coexistence temperature (e. g.  melting of ice cubes in water) is well approximated as reversible."
32,1,0,Latins (Italic tribe),Exploring Various Academic Disciplines (80 vertices),"The Latins (Latin: Latinus (m. ), Latina (f. ), Latini (m.  pl. )), sometimes known as the Latials or Latians, were an Italic tribe that included the early inhabitants of the city of Rome (see Roman people).  From about 1000 BC, the Latins inhabited the small region known to the Romans as Old Latium (in Latin Latium vetus), the area in the Italian Peninsula between the river Tiber and the promontory of Mount Circeo 100 km (62 mi) southeast of Rome."
33,0,0,Invention,Exploring Various Academic Disciplines (80 vertices),"An invention is a unique or novel device, method, composition, idea or process.  An invention may be an improvement upon a machine, product, or process for increasing efficiency or lowering cost.  It may also be  an entirely new concept.  If an idea is unique enough either as a stand-alone invention or as a significant improvement over the work of others, it can be patented."
34,10,0,Thermodynamic system,Exploring Various Academic Disciplines (80 vertices),"A thermodynamic system is a body of matter and/or radiation separate from its surroundings that can be studied using the laws of thermodynamics. Thermodynamic systems can be passive and active according to internal processes.  According to internal processes, passive systems and active systems are distinguished: passive, in which there is a redistribution of available energy, active, in which one type of energy is converted into another."
35,1,0,recollection,Exploring Various Academic Disciplines (80 vertices),"Recall in memory refers to the mental process of retrieval of information from the past.  Along with encoding and storage, it is one of the three core processes of memory.  There are three main types of recall: free recall, cued recall and serial recall.  Psychologists test these forms of recall as a way to study the memory processes of humans and animals. Two main theories of the process of recall are the two-stage theory and the theory of encoding specificity."
36,10,0,philosophy,Exploring Various Academic Disciplines (80 vertices),"Philosophy ('love of wisdom' in Ancient Greek) is a systematic study of general and fundamental questions concerning topics like existence, reason, knowledge, value, mind, and language.  It is a rational and critical inquiry that reflects on its own methods and assumptions. Historically, many of the individual sciences, such as physics and psychology, formed part of philosophy.  However, they are considered separate academic disciplines in the modern sense of the term."
37,1,0,memory,Exploring Various Academic Disciplines (80 vertices),"Memory is the faculty of the mind by which data or information is encoded, stored, and retrieved when needed.  It is the retention of information over time for the purpose of influencing future action.  If past events could not be remembered, it would be impossible for language, relationships, or personal identity to develop.  Memory loss is usually described as forgetfulness or amnesia."
38,1,0,nonbeing,Exploring Various Academic Disciplines (80 vertices),"In metaphysics and ontology, nonexistent objects are a concept advanced by Austrian philosopher Alexius Meinong in the 19th and 20th centuries within a ""theory of objects"".  He was interested in intentional states which are directed at nonexistent objects.  Starting with the ""principle of intentionality"", mental phenomena are intentionally directed towards an object.  People may imagine, desire or fear something that does not exist."
39,0,0,Merriam-Webster,Exploring Various Academic Disciplines (80 vertices),"Merriam-Webster, Incorporated is an American company that publishes reference books and is mostly known for its dictionaries.  It is the oldest dictionary publisher in the United States. In 1831, George and Charles Merriam founded the company as G & C Merriam Co.  in Springfield, Massachusetts.  In 1843, after Noah Webster died, the company bought the rights to An American Dictionary of the English Language from Webster's estate.  All Merriam-Webster dictionaries trace their lineage to this source."
40,1,0,Budapest,Exploring Various Academic Disciplines (80 vertices),"Budapest is the capital and most populous city of Hungary.  It is the ninth-largest city in the European Union by population within city limits and the second largest city on the Danube river.  The city has an estimated population of 1,752,286 over a land area of about 525 square kilometres (203 square miles)."
41,0,0,logic,Exploring Various Academic Disciplines (80 vertices),"In botany, the trunk (or bole) is the stem and main wooden axis of a tree, which is an important feature in tree identification, and which often differs markedly from the bottom of the trunk to the top, depending on the species. The trunk is the most important part of the tree for timber production.  Occurrence Trunks occur both in ""true"" woody plants and non-woody plants such as palms and other monocots, though the internal physiology is different in each case."
42,1,0,machine,Exploring Various Academic Disciplines (80 vertices),"A machine is a physical system that uses power to apply forces and control movement to perform an action.  The term is commonly applied to artificial devices, such as those employing engines or motors, but also to natural biological macromolecules, such as molecular machines."
43,75,0,evolutionary robotics,Exploring Various Academic Disciplines (80 vertices),"Evolutionary robotics is an embodied approach to Artificial Intelligence (AI) in which robots are automatically designed using Darwinian principles of natural selection.  The design of a robot, or a subsystem of a robot such as a neural controller, is optimized against a behavioral goal (e. g.  run as fast as possible)."
